"","tokenlabel","cluster"
"期望/Na/ZBN_CMN_20030430_wpr/57518","期望/Na/ZBN_CMN_20030430_wpr/57518",1
"期望/Na/ZBN_CMN_20030808_wpr/72513","期望/Na/ZBN_CMN_20030808_wpr/72513",1
"期望/Na/CNA_CMN_20010108_wpr/99391","期望/Na/CNA_CMN_20010108_wpr/99391",1
"期望/Na/XIN_CMN_20010121_wpr/48480","期望/Na/XIN_CMN_20010121_wpr/48480",1
"期望/Na/CNA_CMN_20010121_wpr/32239","期望/Na/CNA_CMN_20010121_wpr/32239",1
"期望/Na/CNA_CMN_20001117_wpr/105207","期望/Na/CNA_CMN_20001117_wpr/105207",1
"期望/Na/ZBN_CMN_20030825_wpr/73951","期望/Na/ZBN_CMN_20030825_wpr/73951",1
"期望/Na/XIN_CMN_20030730_wpr/50187","期望/Na/XIN_CMN_20030730_wpr/50187",1
"期望/Na/ZBN_CMN_20030414_wpr/54933","期望/Na/ZBN_CMN_20030414_wpr/54933",1
"期望/Na/CNA_CMN_20001230_wpr/47909","期望/Na/CNA_CMN_20001230_wpr/47909",1
"期望/Na/CNA_CMN_20001230_wpr/113770","期望/Na/CNA_CMN_20001230_wpr/113770",1
"期望/Na/ZBN_CMN_20030415_wpr/45869","期望/Na/ZBN_CMN_20030415_wpr/45869",1
"期望/Na/ZBN_CMN_20030801_wpr/36513","期望/Na/ZBN_CMN_20030801_wpr/36513",1
"期望/Na/CNA_CMN_20030605_wpr/7171","期望/Na/CNA_CMN_20030605_wpr/7171",1
"期望/Na/CNA_CMN_20030505_wpr/2464","期望/Na/CNA_CMN_20030505_wpr/2464",1
"期望/Na/ZBN_CMN_20030820_wpr/69427","期望/Na/ZBN_CMN_20030820_wpr/69427",1
"期望/Na/ZBN_CMN_20030521_wpr/68666","期望/Na/ZBN_CMN_20030521_wpr/68666",1
"期望/Na/ZBN_CMN_20001027_wpr/16379","期望/Na/ZBN_CMN_20001027_wpr/16379",1
"期望/Na/CNA_CMN_20001117_wpr/147222","期望/Na/CNA_CMN_20001117_wpr/147222",1
"期望/Na/XIN_CMN_20030517_wpr/47745","期望/Na/XIN_CMN_20030517_wpr/47745",1
"期望/Na/ZBN_CMN_20030415_wpr/75647","期望/Na/ZBN_CMN_20030415_wpr/75647",1
"期望/Na/ZBN_CMN_20030609_wpr/63028","期望/Na/ZBN_CMN_20030609_wpr/63028",1
"期望/Na/ZBN_CMN_20001021_wpr/9216","期望/Na/ZBN_CMN_20001021_wpr/9216",1
"期望/Na/ZBN_CMN_20030514_wpr/35992","期望/Na/ZBN_CMN_20030514_wpr/35992",1
"期望/Na/ZBN_CMN_20001017_wpr/29039","期望/Na/ZBN_CMN_20001017_wpr/29039",1
"期望/Na/ZBN_CMN_20030825_wpr/73906","期望/Na/ZBN_CMN_20030825_wpr/73906",1
"期望/Na/CNA_CMN_20001207_wpr/150895","期望/Na/CNA_CMN_20001207_wpr/150895",1
"期望/Na/CNA_CMN_20001108_wpr/96224","期望/Na/CNA_CMN_20001108_wpr/96224",1
"期望/Na/XIN_CMN_20030713_wpr/5646","期望/Na/XIN_CMN_20030713_wpr/5646",1
"期望/Na/ZBN_CMN_20030920_wpr/20666","期望/Na/ZBN_CMN_20030920_wpr/20666",1
"期望/Na/ZBN_CMN_20030721_wpr/13716","期望/Na/ZBN_CMN_20030721_wpr/13716",1
"期望/Na/CNA_CMN_20001221_wpr/29289","期望/Na/CNA_CMN_20001221_wpr/29289",1
"期望/Na/XIN_CMN_20010107_wpr/15762","期望/Na/XIN_CMN_20010107_wpr/15762",1
"期望/Na/ZBN_CMN_20030707_wpr/63458","期望/Na/ZBN_CMN_20030707_wpr/63458",1
"期望/Na/ZBN_CMN_20030609_wpr/62959","期望/Na/ZBN_CMN_20030609_wpr/62959",1
"期望/Na/ZBN_CMN_20030422_wpr/1537","期望/Na/ZBN_CMN_20030422_wpr/1537",1
"期望/Na/ZBN_CMN_20001221_wpr/30814","期望/Na/ZBN_CMN_20001221_wpr/30814",1
"期望/Na/XIN_CMN_20030413_wpr/58666","期望/Na/XIN_CMN_20030413_wpr/58666",1
"期望/Na/ZBN_CMN_20030625_wpr/52570","期望/Na/ZBN_CMN_20030625_wpr/52570",1
"期望/Na/ZBN_CMN_20030621_wpr/59600","期望/Na/ZBN_CMN_20030621_wpr/59600",1
