"","tokenlabel","cluster"
"变化/Na/XIN_CMN_20030420_wpr/24566","变化/Na/XIN_CMN_20030420_wpr/24566",1
"变化/Na/XIN_CMN_20001102_wpr/73103","变化/Na/XIN_CMN_20001102_wpr/73103",1
"变化/Na/XIN_CMN_20030430_wpr/53554","变化/Na/XIN_CMN_20030430_wpr/53554",1
"变化/Na/XIN_CMN_20030709_wpr/60117","变化/Na/XIN_CMN_20030709_wpr/60117",1
"变化/Na/XIN_CMN_20030812_wpr/39852","变化/Na/XIN_CMN_20030812_wpr/39852",1
"变化/Na/ZBN_CMN_20030704_wpr/59230","变化/Na/ZBN_CMN_20030704_wpr/59230",1
"变化/Na/XIN_CMN_20030717_wpr/49123","变化/Na/XIN_CMN_20030717_wpr/49123",1
"变化/Na/XIN_CMN_20001002_wpr/16441","变化/Na/XIN_CMN_20001002_wpr/16441",1
"变化/Na/XIN_CMN_20030825_wpr/69338","变化/Na/XIN_CMN_20030825_wpr/69338",1
"变化/Na/XIN_CMN_20030417_wpr/33974","变化/Na/XIN_CMN_20030417_wpr/33974",1
"变化/Na/XIN_CMN_20030926_wpr/72435","变化/Na/XIN_CMN_20030926_wpr/72435",1
"变化/Na/XIN_CMN_20030702_wpr/6942","变化/Na/XIN_CMN_20030702_wpr/6942",1
"变化/Na/XIN_CMN_20001002_wpr/12893","变化/Na/XIN_CMN_20001002_wpr/12893",1
"变化/Na/XIN_CMN_20010124_wpr/42297","变化/Na/XIN_CMN_20010124_wpr/42297",1
"变化/Na/XIN_CMN_20030424_wpr/8752","变化/Na/XIN_CMN_20030424_wpr/8752",1
"变化/Na/XIN_CMN_20010113_wpr/11364","变化/Na/XIN_CMN_20010113_wpr/11364",1
"变化/Na/XIN_CMN_20010113_wpr/30817","变化/Na/XIN_CMN_20010113_wpr/30817",1
"变化/Na/ZBN_CMN_20030930_wpr/51817","变化/Na/ZBN_CMN_20030930_wpr/51817",1
"变化/Na/XIN_CMN_20030827_wpr/38021","变化/Na/XIN_CMN_20030827_wpr/38021",1
"变化/Na/CNA_CMN_20001020_wpr/9180","变化/Na/CNA_CMN_20001020_wpr/9180",1
"变化/Na/ZBN_CMN_20001026_wpr/36707","变化/Na/ZBN_CMN_20001026_wpr/36707",1
"变化/Na/XIN_CMN_20010118_wpr/63871","变化/Na/XIN_CMN_20010118_wpr/63871",1
"变化/Na/XIN_CMN_20030410_wpr/67146","变化/Na/XIN_CMN_20030410_wpr/67146",1
"变化/Na/XIN_CMN_20030404_wpr/6533","变化/Na/XIN_CMN_20030404_wpr/6533",1
